NIU,PERSO_JUR,REGIME_2022,PROFIL_2022,CENTRE_2022,CRI_2022,QUAL_NIU_2022,LOG_CA_2022,LOG_CA_EXP_2022,LOG_VAL_EXP_2022,LOG_VAL_IMP_2022,RATIO_EXP_CA_2022,RATIO_IMP_CA_2022,ECART_EXP_DOUANE_2022,RATIO_ECART_2022,EVOL_CA_2122,INTENSITE_EXP_2022,INTENSITE_IMP_2022,NIU_MAUVAIS,SCORE_FICH_2022,SCORE_DEV_2022,SCORE_RCA_2022,FRAUDE_2022
131,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,18.56416164069704,0.0,115428475.0,0.0,0.0,0.0,0,1,0,2,0,0,0
132,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,19.54902771259851,0.0,309054350.0,0.0,0.0,0.0,0,1,0,1,0,0,0
133,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,20.797284064287474,0.0,1076826432.0,0.0,0.0,0.0,0,1,0,1,0,0,0
134,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,21.12213962394628,0.0,1490145530.0,0.0,0.0,0.0,0,1,0,1,0,0,0
135,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,20.468311289893308,0.0,774951720.0,0.0,0.0,0.0,0,1,0,1,0,0,0
136,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,21.27078935519464,0.0,1728965958.0,0.0,0.0,0.0,0,1,0,1,0,0,0
137,Personne morale,OBNL,C,CIME,CRIC2,Bon,0.0,0.0,0.0,19.29432855776416,0.0,239563375.0,0.0,0.0,0.0,0,1,0,0,0,0,0
138,Personne morale,OBNL,C,CIME,CRIC2,Bon,0.0,0.0,0.0,18.848499386423693,0.0,153390786.0,0.0,0.0,0.0,0,1,0,0,0,0,0
139,Personne morale,OBNL,C,CIME,CRIC2,Bon,0.0,0.0,0.0,18.62257405171941,0.0,122371743.0,0.0,0.0,0.0,0,1,0,0,0,0,0
140,Personne morale,OBNL,C,CIME,CRIC2,Bon,0.0,0.0,0.0,20.71456937913578,0.0,991341246.0,0.0,0.0,0.0,0,1,0,0,0,0,0
141,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,20.309538804943514,0.0,661181407.0,0.0,0.0,0.0,0,1,0,1,0,0,0
142,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,20.59227328502238,0.0,877224307.0,0.0,0.0,0.0,0,1,0,1,0,0,0
143,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,19.340111979279158,0.0,250786359.0,0.0,0.0,0.0,0,1,0,1,0,0,0
144,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,23.77916136938768,0.0,21240198298.0,0.0,0.0,0.0,0,1,0,1,0,0,0
145,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,19.937319693037065,0.0,455688350.0,0.0,0.0,0.0,0,1,0,1,0,0,0
146,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,20.33669705291865,0.0,679383992.0,0.0,0.0,0.0,0,1,0,1,0,0,0
147,Personne morale,HRI,C,CDI,CRIC2,Bon,0.0,0.0,0.0,18.604510363048533,0.0,120181103.0,0.0,0.0,0.0,0,1,0,1,0,0,0
